Title,Author,Date,Category,Content,URL
Sani inaugurates construction of Karatudu-Romi road abandoned for 13 years,Hussaina Yakubu,8/14/2025 21:49,General News,"Sani inaugurates construction of Karatudu-Romi road abandoned for 13 years
Groundbreaking
By Hussaina Yakubu
Kaduna, Aug. 14, 2025 (NAN) Gov. Uba Sani of Kaduna State has inaugurated the construction of the Karatudu-Romi road in Chikun Local Government Area, 13 years after the project was abandoned.
Performing the groundbreaking ceremony on Thursday in Kaduna, Sani said the road was initially awarded during the administration of the late Gov. Patrick Yakowa but was stalled after his death.
The Governor described the project as a critical infrastructure that would benefit the people of Karatudu and Unguwan Romi communities.
�??Our administration is prioritising rural development and focusing on areas where the less privileged reside,�?� Sani said.
He assured that the road would be completed within eight months, stating that a reputable contractor had been engaged and would mobilise to site immediately.
�??Our government keeps to its promises. We do not play politics of deceit. We focus on verifiable, impactful projects,�?� he said.
Sani disclosed that his administration had so far awarded over 83 road contracts across the state, with 31 already completed.
He criticised some politicians for abandoning the area in the past, saying they were now returning to seek political relevance without delivering meaningful projects.
The governor explained that the Karatudu-Romi project would include several adjoining township roads, such as Cemetery Road, Lusawa Road, School Road to Karatudu, and Jemaa Road.
He added that another ongoing road project from Keke to Makera, and Doka Mai Jemaa to Dan Hono in Kujama Ward, was also being executed in Chikun LGA.
Sani said the Water Intake Road from Unguwan Mai Gero to Narayi had been completed and inauguratesd.
He further disclosed that construction would soon commence on the road linking Zenith Bank Roundabout on Kachia Road to the Flour Mill area, connecting Chikun and Kaduna South LGAs.
The governor also revealed that funds had been released for the construction of the long-abandoned Television-Kaduna Garage-Sabon Tasha Road, which links four electoral wards.
According to Sani, the project is expected to commence next week.(NAN)(www.nannews.ng)
HUM/BRM
=============
Edited by Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/sani-inaugurates-construction-of-karatudu-romi-road-abandoned-for-13-years/
Faleye wants NSITF operations digitalised,Joan Nwagwu,8/14/2025 21:47,Metro,"Digitalisation
By Joan Nwagwu
Abuja, Aug.14, 2025 (NAN) Mr Oluwaseun Faleye, Managing Director of the Nigeria Social Insurance Trust Fund (NSITF ) has called for urgent need for the digital transformation of its operations.
Faleye said this during a two-day Bi-Annual Regional Management Performance Review (RMPR) in Abuja on?� Thursday.
The News Agency of Nigeria (NAN) reports that the meeting, which was holding simultaneously in the six regions of the NSITF across the nation, had its theme �??Beyond Targets: Delivery Excellence and Sustainable growth�?�
Faleye said that it was optional, rather it was imperative for the Fund operations to be digitally transformed.
According to him, digital transformation is not optional, it is urgent. We are investing in e-NSITF platforms, digital records systems, and data-driven service delivery to reduce manual inefficiencies, improve transparency, and restore confidence.
�??So, the exercise is not merely to audit numbers, but to reaffirm our shared mission of transferring the Nigeria Social Insurance Trust Fund into an institution that delivers tangible, people-centred impact at scale.
�??We are navigating a complex landscape, where expectations are rising, technology is distrusting old models, and our relevance is being measured by not just what we do, but how we do it.
�??We must ask more of ourselves, we must move beyond the comfort of �??meeting targets�?? and embrace the new standard delivery excellence.
�??Excellence that is visible in how we treat contributions, in how swiftly we process claims, in how compassionately we engage beneficiaries, and in how clearly our value is felt by workers, employers and society.�?�
He charged the review team to be honest, courageous, and solution-oriented, while urging them to �??highlight what is working, spotlight what is not, share ideas that can travel across regions, and raise red flags before they become crises.�?�
Also, Mrs Mojisola Macaulay, Executive Director,?� Operations in NSITF, said the review afforded the opportunity to reflect on progress, confront challenges, and recommit to operational excellence.
In his speech, Mr Samaila Abdul, Executive Director, Administration, said the Fund remains committed to supporting the staff to achieve the organisation�??s goals.
He urged them to redouble their efforts in preaching Employees Compensation Scheme (ECS)and in contribution collections.(NAN)(www.nannews.ng)
JAN/ADA
Edited by Deji Abdulwahab",https://nannews.com.ng/2025/08/14/faleye-wants-nsitf-operations-digitalised/
Bye-election: Zamfara APC raises alarm over deployment of outlawed security outfit,Ishaq Zaki,8/14/2025 21:37,Politics,"Bye-election: Zamfara APC raises alarm over deployment of outlawed security outfit
Bye-election
By Ishaq Zaki
Gusau, Aug. 14, 2025 (NAN) The Zamfara chapter of the All Progressives Congress (APC) has cautioned against the deployment of outlawed security volunteers popularity known as �??Yansakai�?? to Kaura Namoda Local Government Area ahead of Saturday�??s State House of Assembly bye-election in the state.
The News Agency of Nigeria (NAN) reports that the Independent National Electoral Commission (INEC) has scheduled Saturday to conduct bye-election for Kaura Namoda South State House of Assembly Constituency.
The scheduled bye-election followed the demise of the lawmaker representing the constituency, Aminu Kasuwar-Daji of the APC.
In a statement issued in Gusau on Thursday, the state APC Publicity Secretary, Malam Yusuf Idris said the party has concluded all the required arrangements to participate fully in the Saturday�??s bye-election in a peaceful manner.
Idris, however, alleged that there were plans for the engagement of illegal security outfits in the election process by some desperate politicians.
�??We have noticed the movement of some suspected miscreants in the state for them to participate in the forthcoming bye-election for Kaura Namoda South state assembly constituency.
�??Based on the information we gathered, the suspected miscreants are being kitted with uniforms and firearms to participate in the election process, which is totally against the electoral laws,�?� Idris said.
Idris accused the Peoples Democratic Party (PDP) in the state for using state government machineries to win the election.
�??This is an alarming situation used by the PDP in their desperate move to forcefully ensure that their candidate is declared winner at the end of the election no matter who gets wounded or killed.
�??The Peoples Democratic Party (PDP) is certainly not happy with the strength of the APC in the areas that the poll will be conducted.
�??That is why they resolved to use miscreants to achieve their selfish political interests.
�??We fear for the lives and properties?� of our electorate and those of our party members.
�??APC is a peace loving party, we want to use this medium to alert the security agencies in the state in good time, for them to take proactive measures,�?� Idris added.
The party urged the authorities to make sure that only the reputable security agencies especially the Police, DSS and the Nigerian Security and Civil Defence Corps (NSCDC) were involved in the election process.
Reacting to the allegations, the State Publicity Secretary of the PDP, Alhaji Halliru Andi, described them as baseless and a propaganda by the APC over the fear of participating the election.
Andi said that the PDP in the state had no record of election malpractices or creating violence during elections.
He accused the APC for using unnecessary statements, saying, �??this is because of its desperation to win the bye-election.
�??Every one knows that in the history of?� Zamfara, the PDP chapter has been a peace loving umbrella.
�??The APC Zamfara chapter is used to create unnecessary allegations to divert the attention of the authorities and the public
�??Therefore, all the allegations by the APC against the PDP are not true.
�??I am therefore calling on the public and the authorities to disregard such allegations as they are created to create havoc in the state ahead of election day,�?�?� he added.(NAN)(
www.nannews.ng
)
IZ/BRM
=========
Edited by Bashir Rabe Mani",https://nannews.com.ng/2025/08/14/bye-election-zamfara-apc-raises-alarm-over-deployment-of-outlawed-security-outfits/
ASUP issues 21 days ultimatum to FG over lingering demands,Joan Nwagwu,8/14/2025 21:30,Metro,"Demands
By Joan Nwagwu
Abuja, Aug. 14. 2025(NAN) The Academic Staff Union of Polytechnics (ASUP) has issued a 21-day ultimatum to the Federal Government to meet its outstanding demands in an agreement entered with the union.
Mr Shammah Kpanja, President of ASUP, said this while addressing newsmen at the end of an emergency meeting of the National Executive Council of the union on Thursday in Abuja.
Kapanja said that the demands by the union includes the non release of a circular to effect the payment of its Peculiar Academic Allowance by the National Salaries Incomes and Wages Commission (NSIWC).
He said the Peculiar Academic Allowances paid to academic staff across Polytechnics was a component of the ASUP/FGN 2010 agreement.
The union leader said, rather than make provisions for payment, the allowances have been removed from the budgeting template and the Federal Ministry of Education (FME) had failed to intervene in definite terms on the subject.
He said the NEC expressed deep concerns over the continued decision by the National Board for Technical Education (NBTE) to outsource the accreditation process for polytechnics in the country despite assurances to desist from such actions.
The union leader said the 25/35 per cent arrears of salary review was yet to be implemented.
He said that the arrears which cover a 12-month period and captured in the budget was yet to be released for reasons beyond the comprehension of the union.
ASUP president added that NEC?� expressed deep concerns over the continued decision by the NBTE to outsource the accreditation process for polytechnics in the country despite assurances to desist from such actions.
He said that most states government have failed to implement the New National Minimum Wage.
He said NEC have expressed worry over the continued delay and non approval of a dual mandate structure aimed at eliminating the agelong discrimination against HND holders.
�??In view of the items listed above our union�??s NEC has resolved to issue a 21 days ultimatum to the Government to address the issues satisfactorily.
�??A failure to utilise this window may lead to the declaration of a trade dispute and withdrawal of services of our members across public polytechnics and monotechnics nationwide�?� he said.(NAN) (www.nannews.ng)
JAN/ROT
========
Edited by Rotimi Ijikanmi",https://nannews.com.ng/2025/08/14/asup-issues-21-days-ultimatum-to-fg-over-lingering-demands/
"ICPC, community unite to fight corruption, disability-linked crimes",Isaac Aregbesola,8/14/2025 21:23,Defence/Security,"ICPC, community unite to fight corruption, disability-linked crimes
Partnership
By Isaac Aregbesola
Abuja, Aug. 14, 2025 (NAN)The Independent Corrupt Practices and Other Related Offences Commission (ICPC) has pledged to strengthen collaboration with Nigeria�??s disability community to fight corruption, end discrimination, and promote equal opportunities.
The ICPC Spokesperson, Mr Demola Bakare, said this in a statement on Thursday, in Abuja.
Bakare quoted the ICPC Chairman, Dr Musa Aliyu, SAN, as saying this in Abuja at a strategic partnership meeting with the Pioneers Ad Hoc Consortium of Nigeria�??s Disability Civil Rights Movement.
Ailyu, represented by the Commission�??s Secretary, Mr Clifford Oparaodu, affirmed that the commission operated an inclusive recruitment policy and already employed persons with disabilities.
�??ICPC does not discriminate in its recruitment or operations.
�?�We treat every verifiable petition on its merit, irrespective of the petitioner�??s background or vulnerability,�?� he said.
He welcomed proposals from the consortium and confirmed the commission�??s readiness to explore joint initiatives.
The initiative, he said, included tackling corruption in disability-focused institutions, strengthening whistleblower engagement, and improving accessibility.
Lady Omotunde Thompson, Co-Founder and Chairperson of the Joint National Association of Persons with Disabilities, highlighted the key challenges faced by the disability community.
She said that this included corruption, systemic neglect, and structural barriers.
She commended ICPC for its professionalism, empathy in pursuing justice, and physical support during court proceedings.
�??We value ICPC�??s track record in addressing high-profile cases and the compassion it has shown.
�?�But more must be done to ensure dignity, protection, and fairness for persons with disabilities,�?� she said.
She called for the creation of a Department of Veteran Affairs in Nigeria to address the welfare of law enforcement officers and persons with disabilities.
According to her, this should
include timely salary payments, healthcare access, and adequate protection to reduce insecurity and social unrest.
Her proposals also included: appointment of a dedicated desk officer for disability matters, specialised training programmes, audits of donor funds for disability-focused projects, as well as the inclusive and accessible policymaking dialogues.
The association presented a formal petition and proposed a Memorandum of Understanding to formalise collaboration with ICPC.
The meeting ended with a renewed commitment from the ICPC to act on any verifiable petition within its mandate.(NAN)(www.nannews.ng)
IAA/KOO
========
Edited by Kevin Okunzuwa",https://nannews.com.ng/2025/08/14/icpc-community-unite-to-fight-corruption-disability-linked-crimes/
"By-elections: INEC urges political parties, candidates, others to adhere to law",Oloniruha Emmanuel,8/14/2025 21:19,Politics,"By-elections
By Emmanuel Oloniruha
Abuja, Aug. 14, 2025 (NAN) Independent National Electoral Commission (INEC) has appealed to political parties, candidates and all stakeholders participating in the Saturday by-election to adhere strictly to the provisions of the law, regulations and guidelines.
INEC, in a statement by the National Commissioner and Chairman, Information and Voter Education Committee, Sam Olumekun, on Thursday in Abuja, said that doing so would ensure seamless processes.
Olumekun said that the commission, at its regular weekly meeting on Thursday, discussed about its final presentation for the by-election, among other matters.
He said that the commission also discussed about the resumption of continuous voter registration (CVR) and the publication of the personal particulars of candidates for the Feb. 21, 2026 area council elections in the Federal Capital Territory (FCT).
Olumekun disclosed that all non-sensitive materials for the by-elections had been delivered to the affected states, while election technology, such as the Bimodal Voter Accreditation System (BVAS), had been configured for the exercise.
�??The recruitment and training of ad hoc staff as well as security and logistics arrangements have been concluded. The final consignment of sensitive materials will be delivered today as scheduled.
�??The commission wishes to remind political parties and candidates that campaigns end at midnight today, Thursday, Aug. 14.
�??With less than 48 hours to the opening of polls, the commission reiterates its appeal to all those involved in the by-elections as political parties, candidates, voters, party agents, observers and the media to adhere strictly to the provisions of the law, regulations and guidelines.
�??Doing so will ensure seamless processes,�?� he said.
The News Agency of Nigeria (NAN) reports that the by-elections, schedule for Saturday, will be held in 16 constituencies across 12 states of the federation.
The by-elections involve two senatorial districts in Anambra and Edo states, five federal constituencies in Edo, Jigawa, Kaduna, Ogun and Oyo states, and nine state constituencies in Adamawa, Anambra, Kaduna (2), Kano, Kogi, Niger, Taraba and Zamfara states.
NAN also reports that the by-elections were occasioned by the resignation or death of serving members of the national and state assemblies.
On the resumption of CVR, Olumekun reminded Nigerians that the exercise would resume on Aug. 18 nationwide with the online pre-registration of voters.
He added that the physical or in-person registration would follow on Aug. 25 at all the 811 INEC state and local government offices across the country.
Olumekin said that the list and locations of the centres, including dedicated telephone numbers for citizens in need of assistance, could be obtained from INEC website and other online platforms.
According to him, the active CVR locator will go live on Aug. 17.
�??During the CVR, citizens will also have the opportunity to transfer their registration within a state or to other states of the federation. Similarly, damaged or lost PVCs will be replaced as provided by law.
�??It needs to be re-emphasied that the CVR is only open to Nigerian citizens who are 18 years or older, and who have not registered before, as double or multiple registration is a punishable offence under the law,�?� he said.
On the FCT area council elections, Olumekun stated that 17 political parties had uploaded their candidates�?? nomination forms as at 6 p.m. of Aug. 11 when the dedicated portal automatically shut down.
He said that in line with the provisions of Section 29(3) of the Electoral Act, 2022, the commission would, on Aug. 18, publish the personal particulars of the candidates by displaying copies of their Form EC9.
The publication, he said, would be done along with all the accompanying academic credentials and other documents submitted by the candidates in all INEC offices in the six area councils of the FCT.
�??The 17 parties participating in the election nominated 637 candidates for the 68 seats (six chairmen and 62 councillors) in the FCT,�?� he said.
Olumekun appealed to Nigerians to scrutinise the documents.
�??Any aspirant who participated in his/her party primaries with reasonable grounds to believe that the information provided by a candidate is false can challenge the nomination in a Federal High Court as provided in Section 29(5) of the Electoral Act, 2022.
�??The final list of candidates will be published on 22nd September, 2025 which is at least 150 days before the day of the election,�?� he said.
This, he added, was in line with the provisions of Section 32(1) of the Electoral Act, 2022 and listed as item seven on INEC timetable and schedule of activities for the elections.
Olumekun pledged that INEC would continue to update Nigerians on all its activities. (NAN)(www.nannews.ng)
OBE/WAS
Edited by �??Wale Sadeeq",https://nannews.com.ng/2025/08/14/by-elections-inec-urges-political-parties-candidates-others-to-adhere-to-law/
FG reaffirms commitment to partnering Pakistan in tackling global challenges,Fortune Abang,8/14/2025 21:17,Foreign,"Partnership
By Fortune Abang
Abuja, Aug. 14, 2025 (NAN) The Minister of Foreign Affairs, Amb. Yusuf Tuggar, has reaffirmed Nigeria�??s commitment to exploring new areas of mutual benefit and working closely with Pakistan in tackling shared global challenges.
Tuggar disclosed this in a statement issued by the ministry�??s Spokesperson,
Kimiebi Ebienfa, on Thursday in Abuja.
The minister�??s message came against the backdrop of his congratulatory note to his counterpart, Sen. Mohammad Dar, Pakistan�??s Deputy Prime Minister and Foreign Minister, on the occasion of the country�??s independence anniversary.
According to him, this day stands as a reminder of the Pakistani people�??s enduring resilience, determination and unity in their historic pursuit of self-determination.
Tuggar said, �??As Pakistan marks this significant anniversary, Nigeria joins in celebrating the shared ideals of freedom, dignity and mutual respect that form the foundation of relations between our two nations.
�??Nigeria and Pakistan enjoy a long history of cordial relations and fruitful cooperation bilaterally and within multilateral fora, such as the Commonwealth of Nations, the Organisation of Islamic Cooperation (OIC) and the United Nations.
�??Our partnership is strengthened by collaboration in education, trade, defence and cultural exchange, as well as our shared commitment to global peace and sustainable development.
�??Nigeria reaffirms her dedication to deepening these bonds, exploring new areas of mutual benefit and working closely with Pakistan to address shared global challenges.
�??We value the friendship between our countries and look forward to many more years of productive cooperation.�?�
The minister congratulated the government and people of Pakistan, wishing them continued progress, unity and prosperity in the years ahead. (NAN) (www.nannews.ng)
FEA/KOO
=========
Edited by Kevin Okunzuwa",https://nannews.com.ng/2025/08/14/fg-reaffirms-commitment-to-partnering-pakistan-in-tackling-global-challenges/
"Why we involve EFCC, others in recovering Anchor Borrowers loans �?? MAAN",Priscilla Osaje,8/14/2025 21:11,Agriculture,"Loans
By Priscilla Osaje
Abuja, Aug. 14, 2025 (NAN) The Maize Association of Nigeria (MAAN) says it is working with the Economic and Financial Crimes Commission (EFCC), Department of State Services (DSS), and the Nigeria Police to recover Anchor Borrowers Programme loans from its members.
Its National President, Mr Bello Abubakar, said this at a news conference after a three-day meeting organised by the association in Abuja on Thursday.
The meeting includes association�??s state chairmen, zonal coordinators, national officers, and other stakeholders in the maize value chain such as researchers, input suppliers, farmers, and the end users.
The MAAN boss said the purpose of the press briefing was to inform the general public on the efforts being made in recovering the Anchor Borrowers Programme loan given to the association from 2018 to 2021 for maize production,�?� he said.
�??MAAN understands that the ABP/CBN programme is a revolving loan due for full recovery, depending on the participants (farmers) for compliance.
�??Unfortunately, there was a monumental disappointment as most of the participants/farmers thought that the loan was national cake,�?� Abubakar said.
He said due to the recalcitrant attitude of the participants/farmers towards repayment of the loan, MAAN was constrained to write several demand letters to the defaulters as well as seek synergy with the law enforcement and anti-graft agencies like EFCC, DSS, and the Nigeria Police for assistance in line with Federal Government policies of loan recovery.
�??It is most unfortunate that some of the participants/defaulters who tried to evade responsibility to both MAAN and the agencies in support of our loan recovery, took us to various courts for enforcement of their purported human rights which they claimed were violated.�?�
The MAAN president said the association took some of the defaulters to court for the recovery of the loan, and most of those cases are still pending in courts.�?�
He said insecurity is grossly affecting the association members, saying �??some of our farms and farmers were burnt, kidnapped, and killed by bandits on the farms in Niger, Zamfara, Katsina, Borno, Yobe, Sokoto, Ondo, and Ekiti states.
According to him, flooding has also affected the farmers in Kogi, Benue, Cross River, Jigawa, Katsina, Taraba, Niger, Kebbi, and Kwara states, with drought threatening their members in Oyo, Kwara, Niger, Ondo, Ekiti, and Benue states.
Abubakar urged the Federal Government to create an enabling environment that would give smallholder farmers the opportunity to settle their outstanding loans, produce for domestic needs and exports.
According to him, government should show compassion to farmers in consideration of the unmitigated and debilitating factors making productive farming and harvest impossible.
The MAAN boss appealed to the government to either waive or review downward the outstanding financial obligations of the association in the CBN/ABP programme.
He commended President Bola Tinubu�??s administration for its efforts in ensuring food security in the country.(NAN)(www.nannews.ng)
PO/ADA
Edited by Deji Abdulwahab
======",https://nannews.com.ng/2025/08/14/why-we-involve-efcc-others-in-recovering-anchor-borrowers-loans-maan/
Edo bye-elections: lNEC distributes sensitive materials,Usman Aliyu,8/14/2025 21:01,Politics,"Edo bye-elections: lNEC distributes sensitive materials
By Nefishetu Yakubu
Benin, Aug 14, 2025(NAN)The Independent National Electoral Commission (lNEC) has commenced the distribution of sensitive materials to Ovia Federal Constituency and Edo Central Senatorial District ?�ahead of the Saturday bye-elections .
The News Agency of Nigeria (NAN) reports that the Edo Resident Electoral Commissioner, Anugbum Onuoha, and other officials of the commission supervised the distribution of the sensitive materials.
The exercise, which took place in the premises of the Central Bank of Nigeria (CBN) in Benin, had some agents of the political parties of APC , PDP, AA, and ADC, among others, on ground to monitor the exercise.
Security agencies were also on ground to ensure the smooth process of the distribution exercise
Addressing newsmen, Onuoha noted that the sensitive materials had been distributed to the five local government areas in Edo Central and two local governments in Ovia, where the bye elections would hold.
He said that the commission was fully prepared to ensure that the election was hitch free and called on the electorate to come out enmass to vote for their choice candidates. (NAN) (www.nannews.ng)
NY/BEKl/JI
Edited by Abdulfatai Beki/Joe Idika",https://nannews.com.ng/2025/08/14/edo-bye-elections-lnec-distributes-sensitive-materials/
INEC assures credible Kano by-elections,Ramatu Garba,8/14/2025 20:59,General News,"INEC
By Ramatu Garba
Kano, Aug. 14, 2025 (NAN) The Independent National Electoral Commission (INEC) in Kano State says it is fully prepared to conduct peaceful, credible, and transparent by-elections in parts of the state on Saturday, Aug. 16.
The State Resident Electoral Commissioner (REC), Amb. Abdu Zango, disclosed this while briefing journalists in Kano on Thursday.
Zango said the State Assembly by-elections would take place in Bagwai/Shanono and Ghari (Kunchi)/Tsanyawa Local Government Areas.
He said non-sensitive materials were dispatched to the local governments three weeks ago, sorted according to registration areas and polling units, while sensitive materials had arrived for onward distribution.
�??We are starting the election at 8:30 a.m. prompt, in line with standard directives, and all arrangements have been completed,�?� he said.
He added that all 1,400 ad hoc staff had been trained, deployed, and were already at their respective locations to ensure the smooth conduct of the exercise.
The REC explained that the Bimodal Voter Accreditation System (BVAS) devices had been configured, tested, and charged, noting that only voters with valid Permanent Voter Cards (PVCs) would be allowed to vote.
On security, Zango said the Inter-Agency Consultative Committee on Election Security (ICCES) had assured the commission of adequate personnel and resources to guarantee safety before, during, and after the polls.
He said stop-and-search operations and other security measures had already commenced in the affected areas.
�??We have zero tolerance for lack of transparency or partisanship. INEC remains neutral. The only political party we recognise is the citizens, and whoever they choose will be declared winner,�?� he said.
Zango said the Ghari election was a court-ordered rerun in 10 polling units, with 5,200 registered voters, contested by the APC and NNPP.
He added that about 75,000 registered voters would participate in the Bagwai election, which has candidates from 11 political parties.
The REC said political parties and candidates had signed a peace accord to conduct themselves responsibly and avoid violence.
He said polling unit results would be announced at the respective units before being taken to the Registration Area Centres (RAC) for collation and declaration.
He added that the Ghari supplementary poll collation would take place at INEC headquarters.
Zango urged voters to come out en masse to exercise their franchise without fear, assuring them of safety and the integrity of the process. (NAN) (www.nannews.ng)
RG/ARIS/KTO
============
Edited by Idowu Ariwodola / Kamal Tayo Oropo",https://nannews.com.ng/2025/08/14/inec-assures-credible-kano-by-elections/
Nigeria economy growing  consistently due to ongoing reforms �?? Edun,Nana Musa,8/14/2025 20:50,Economy,"Growth
By Nana Hauwa Musa
Abuja, Aug. 14, 2025 (NAN) The Minister of Finance and Coordinating Minister of the Economy, Mr Wale Edun, says the Nigerian economy is experiencing  consistent growth within the context of global developments and ongoing domestic reform programmes.
Edun said this at a news conference to provide update on the economy, in Abuja on Thursday.
He said that Nigeria�??s gross revenues increased by 37.4 per cent in the first half of 2025.
According to him, the medium-term goal is to achieve seven per cent in annual Gross Domestic Products (GDP) growth, driven by critical investments by government, private investment, job creation and higher incomes.
The minister  said  that to achieve this, Nigeria needed to invest in critical sectors and expand Public Private Partnership (PPP) arrangements across agriculture, educational, health, manufacturing, technology and infrastructure.
He said that since the first half of 2023, the combined fiscal balance of the states had grown from 1.8 per cent of GDP to 3.1 per cent.
�??That is from N2.8 trillion to over N7.1 trillion, which is a surplus.
�??That means that the states have been provided funding that have now allowed them to be in surplus, giving them greater capacity to invest.
�??It must be said that the increase in spending of the states has, in fact, mainly gone to capital expenditure, and that is the basis of the type of spending and growth that we are looking for,�?� he said
Edun said that in the oil and gas sector, the average production in the first half of 2025 was 1.67 million barrels per day, which was below the 2.06 million barrels budgeted.
He said that the average crude price was budgeted for at 75 dollar per barrel, adding that Nigeria now has an average price of 67 dollar per barrel.
�??We have maintained compliance with the OPEC quota, and as you can see from the figures I have given, there is a revenue shortfall, in response to that.
�??We have prioritised spending on sectors that directly impact citizens and support our growth ambitions,�?� he said.
In the power sector, the minister said there had not been national grid collapse in 2025.
He said that all approvals were in place to liquidate four trillion Naira legacy debts, and to implement a sustainable framework under the Electricity Act.
�??it is a combination of removing or repaying or refinancing the outstanding debt so that those who are owed can in turn pay out their own obligations, as well as looking for sustainability going forward.
�??There  is the mission 300 initiative of the World Bank and the African Development Bank, that supports providing electricity connectivity to 300 million additional Africans.
�??Nigeria is a key beneficiary, and this is unlocking investment in manufacturing, agro-processing and services, as a result of greater access to electricity,�?� he said.
The minister reiterated the Federal Government commitment to a coordinated fiscal and monetary policy framework that could substantially and sustainably reduce inflation.
He said that it would enable cheaper capital for businesses to invest, and greater purchasing power for households.
He said that President Bola Tinubu�??s led administration was commitment to transparency, consistent and data-driven communication.
�??We believe that this dialogue is essential to building public trust and informing our citizens about decisions that are being taken on their behalf.
�??We now have a very competitive exchange rate and other conditions, which are allowing us to diversify our exports, particularly under the African Continental Free Trade Area Agreement.
�??Interest rates across major economies remain elevated as reflecting the fight against inflation,�?� he said.
Edun said that the country was open for business, stating that Nigeria has a stable macroeconomic conditions that can help people plan and invest.
�??We will continue to emphasise and open the doors to private investment across agriculture, manufacturing, technology, infrastructure and services.
�??At the same time, we are committed to maintaining discipline, not only to save wealth, but to invest wisely, focussing on education, health and infrastructure that drive long-term productivity and inclusive growth.
�??Our commitment is to build an economy that works for everyone, with transparency and resilience,�?� the minister said. (NAN)(www.nannews.ng)
NHM/KAE
========
Edited by Kadiri Abdulrahman",https://nannews.com.ng/2025/08/14/nigeria-economy-growing-consistently-due-to-ongoing-reforms-edun/
By-election: Edo deputy gov. confident of APC victory,Usman Aliyu,8/14/2025 20:44,Politics,"By-election
By Usman Aliyu
Benin, Aug. 14, 2025 (NAN) The Deputy Governor of Edo, Mr Dennis Idahosa,, says he is confident of victory for the All Progressives Congress (APC) in the Saturday by-election into the Ovia Federal Constituency of the state.
Idahosa said this on Thursday while speaking at the grand finale of the APC campaign for the Ovia Federal Constituency bye-election in Iguobazuwa, Ovia South West Local Government.
According to him, Edo remains the natural home of the APC, despite setbacks under the immediate past administration.
The deputy governor expressed confidence that the party�??s candidate, Omosede Igbinedion, would secure not less than 90 per cent of the votes in the poll.
�??All that is needed is for us to fully mobilise and encourage our supporters to come out en masse on Saturday to exercise their civic responsibility.
�??From our engagements across the constituency in recent days, we are certain of at least 90 per cent of the total votes.
�??If not for the misdeeds of the immediate past administration, Edo has always been mainly APC territory,�?� Idahosa said.
Igbinedion, a former House of Representatives member, pledged to prioritise the constituency�??s development.
She said her partnership with the deputy governor would attract more federal projects to the area.
She urged voters to turn out without fear or intimidation and cast their ballots for the APC.
The News Agency of Nigeria (NAN) reports that the campaign rally drew several APC heavyweights, including Edo State House of Assembly Speaker, Blessing Agbebaku; Deputy Speaker, Osamwonyi Atu; former deputy governors, Dr Pius Odubu and Chief Lucky Imasuen.
Others are former governorship candidate, Pastor Osagie Ize-Iyamu; State Secretary, Mr Lawrence Okah; Senator Neda Imasuen; and Chief Billy Osawaru, among others. (NAN) (www.nannews.ng)
AUO/JI
Edited by Joe Idika",https://nannews.com.ng/2025/08/14/bye-election-edo-deputy-gov-confident-of-apc-victory/
